INDEX,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
26,1,0,43.0,0,13.0,37214.0,No,154867.2897232688,Yes,M,<High School,z_Blue Collar,52,Commercial,26560.0,1,Panel Truck,yes,0.0,0,No,3,1.0,Highly Urban/ Urban
27,0,0,48.0,0,14.0,96274.0,No,282904.0,Yes,z_F,Masters,Lawyer,36,Private,11130.0,6,z_SUV,no,8250.0,1,No,5,14.0,Highly Urban/ Urban
28,0,0,47.0,0,11.0,46281.0,No,0.0,z_No,z_F,<High School,z_Blue Collar,29,Private,19700.0,10,Minivan,no,0.0,0,No,1,5.0,Highly Urban/ Urban
29,0,2,44.0,2,0.0,0.0,No,82344.0,Yes,z_F,z_High School,Home Maker,8,Private,5900.0,6,z_SUV,no,3338.0,3,No,0,11.0,Highly Urban/ Urban
32,0,0,33.0,1,13.0,79606.0,No,225962.0,Yes,z_F,Bachelors,Professional,27,Private,16830.0,9,z_SUV,no,0.0,0,No,2,15.0,z_Highly Rural/ Rural
33,1,0,32.0,1,9.0,31275.0,No,118160.0,Yes,z_F,z_High School,Clerical,26,Private,10030.0,1,z_SUV,no,0.0,0,No,0,1.0,Highly Urban/ Urban
34,0,1,44.0,2,17.0,45488.0,No,219378.0,Yes,M,Bachelors,Manager,16,Private,22090.0,17,Minivan,no,0.0,0,No,0,12.0,Highly Urban/ Urban
35,0,0,35.0,0,8.0,72193.0,No,0.0,z_No,z_F,Bachelors,Clerical,26,Private,12220.0,6,z_SUV,no,0.0,0,No,3,12.0,Highly Urban/ Urban
36,0,0,40.0,2,0.0,61898.0946086055,No,98777.0,Yes,z_F,Masters,Home Maker,15,Private,14130.0,6,z_SUV,no,38127.0,2,Yes,4,12.0,z_Highly Rural/ Rural
38,0,0,49.0,0,5.0,49244.0,No,163444.0,Yes,M,Bachelors,Clerical,30,Private,15880.0,1,Minivan,no,0.0,0,No,1,1.0,Highly Urban/ Urban
40,0,0,52.0,0,8.0,51278.0,No,230340.0,Yes,z_F,Bachelors,Professional,37,Private,1500.0,4,z_SUV,no,0.0,0,No,1,10.0,Highly Urban/ Urban
41,0,0,41.0,0,7.0,92842.0,No,286113.0,z_No,M,Masters,z_Blue Collar,12,Commercial,25810.0,6,Panel Truck,no,1431.0,2,No,5,15.0,Highly Urban/ Urban
42,0,0,39.0,0,10.0,35081.0,No,202839.0,Yes,M,Bachelors,z_Blue Collar,38,Commercial,16640.0,4,Van,yes,0.0,0,No,0,13.0,Highly Urban/ Urban
43,0,0,56.0,0,0.0,0.0,No,63827.0,Yes,z_F,PhD,Home Maker,65,Private,13220.0,1,Minivan,no,0.0,0,No,0,12.0,z_Highly Rural/ Rural
44,0,0,49.0,0,12.0,115044.0,No,311980.0,z_No,z_F,PhD,Doctor,18,Private,17900.0,1,Minivan,no,0.0,0,No,0,14.0,Highly Urban/ Urban
45,0,0,38.0,0,11.0,37754.0,No,138823.0,Yes,z_F,z_High School,Clerical,47,Private,12080.0,1,z_SUV,no,0.0,0,No,2,9.0,z_Highly Rural/ Rural
46,0,0,43.0,2,17.0,145353.0,No,418785.0,Yes,z_F,Masters,z_Blue Collar,38,Commercial,29450.0,6,Van,no,0.0,0,No,0,15.0,Highly Urban/ Urban
48,0,0,63.0,0,15.0,121398.0,No,343410.0,Yes,z_F,PhD,Doctor,10,Private,16270.0,1,z_SUV,no,0.0,0,No,0,11.0,Highly Urban/ Urban
49,0,0,52.0,0,0.0,0.0,No,87925.0,z_No,z_F,z_High School,Student,48,Commercial,9280.0,1,z_SUV,no,0.0,0,No,1,6.0,z_Highly Rural/ Rural
50,0,0,35.0,0,7.0,14508.0,No,0.0,Yes,M,Bachelors,Student,22,Commercial,6450.0,1,Pickup,no,0.0,0,No,0,7.0,Highly Urban/ Urban
51,0,0,43.0,0,13.0,75338.0,No,270555.0,Yes,z_F,Bachelors,Manager,40,Private,23080.0,1,Sports Car,no,0.0,0,No,0,8.0,Highly Urban/ Urban
52,0,0,41.0,0,10.0,32774.0,No,0.0,z_No,z_F,z_High School,Clerical,44,Private,20120.0,4,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
53,0,0,40.0,0,11.0,57474.0,No,186418.0,Yes,M,Bachelors,Clerical,5,Commercial,29270.0,4,Panel Truck,yes,0.0,0,No,1,5.0,Highly Urban/ Urban
54,0,0,31.0,1,12.0,26520.0,No,154493.0,Yes,M,Bachelors,Student,62,Commercial,4600.0,6,Minivan,yes,0.0,0,No,2,5.0,Highly Urban/ Urban
55,0,0,47.0,0,8.0,18444.0,No,0.0,Yes,z_F,z_High School,Student,35,Commercial,19450.0,6,z_SUV,no,2981.0,2,No,5,8.32832309502026,Highly Urban/ Urban
56,0,0,53.0,0,10.499286363046581,107259.0,No,343700.0,Yes,M,Masters,Professional,36,Private,29230.0,10,Minivan,yes,0.0,0,No,0,15.0,Highly Urban/ Urban
57,0,0,39.0,3,7.0,34046.0,No,183383.0,Yes,z_F,z_High School,Clerical,33,Private,4040.0,6,z_SUV,no,0.0,0,No,0,5.0,z_Highly Rural/ Rural
58,0,0,33.0,3,14.0,32364.0,No,152894.0,Yes,M,<High School,Clerical,40,Private,12270.0,18,Minivan,yes,0.0,0,No,3,1.0,Highly Urban/ Urban
59,0,0,59.0,0,5.0,106775.0,No,154867.2897232688,z_No,M,Masters,Lawyer,10,Private,31930.0,1,Minivan,yes,0.0,0,No,0,8.32832309502026,Highly Urban/ Urban
61,1,0,40.0,0,11.0,16989.0,No,0.0,z_No,M,<High School,z_Blue Collar,20,Commercial,12230.0,4,Pickup,yes,26104.0,1,Yes,13,6.0,Highly Urban/ Urban
65,1,0,44.0,2,15.0,16352.0,No,134164.0,Yes,z_F,z_High School,Home Maker,37,Private,10520.0,1,z_SUV,no,7838.0,1,No,1,1.0,Highly Urban/ Urban
66,0,0,56.0,0,16.0,44760.0,No,164852.0,Yes,M,Bachelors,Manager,30,Private,21770.0,13,Minivan,yes,0.0,0,No,0,6.0,Highly Urban/ Urban
67,1,1,45.0,1,14.0,63952.0,No,196368.0,Yes,z_F,Masters,Lawyer,50,Private,32340.0,6,Van,no,27877.0,2,Yes,0,13.0,Highly Urban/ Urban
69,0,0,48.0,0,10.499286363046581,61898.0946086055,No,252896.0,Yes,M,Bachelors,Professional,14,Commercial,28560.0,13,Panel Truck,yes,1554.0,5,No,1,10.0,Highly Urban/ Urban
70,1,1,44.0,2,10.499286363046581,24060.0,Yes,0.0,z_No,M,Bachelors,Clerical,24,Private,14220.0,4,Minivan,no,0.0,0,No,0,10.0,Highly Urban/ Urban
71,1,0,33.0,4,12.0,20822.0,No,76022.0,Yes,z_F,z_High School,Home Maker,46,Private,6880.0,13,z_SUV,no,7896.0,3,No,0,1.0,Highly Urban/ Urban
72,0,0,32.0,3,14.0,54968.0,No,146784.0,Yes,z_F,z_High School,Professional,20,Private,10040.0,4,z_SUV,no,0.0,0,Yes,0,8.0,Highly Urban/ Urban
73,1,0,34.0,0,8.0,14194.0,No,87034.0,z_No,z_F,<High School,Clerical,13,Private,2920.0,4,Sports Car,no,24767.0,3,Yes,2,10.0,Highly Urban/ Urban
74,0,1,38.0,4,12.0,2149.0,No,72889.0,Yes,z_F,<High School,Home Maker,35,Private,22690.0,10,Pickup,no,0.0,0,No,2,1.0,Highly Urban/ Urban
77,1,2,43.0,3,11.0,137103.0,Yes,0.0,z_No,z_F,Masters,Manager,29,Private,19510.0,1,Sports Car,no,8890.0,3,No,0,15.0,Highly Urban/ Urban
78,0,0,49.0,0,9.0,61898.0946086055,No,0.0,z_No,M,PhD,z_Blue Collar,31,Commercial,33710.0,3,Panel Truck,no,34351.0,2,Yes,2,18.0,Highly Urban/ Urban
79,0,0,46.0,0,10.0,79538.0,No,0.0,z_No,z_F,Bachelors,Manager,13,Private,14050.0,3,Minivan,no,0.0,0,Yes,2,11.0,Highly Urban/ Urban
80,0,0,45.0,1,11.0,185836.0,No,509115.0,Yes,z_F,PhD,Lawyer,28,Private,10250.0,1,z_SUV,no,4307.0,3,No,6,20.0,Highly Urban/ Urban
81,0,0,46.0,0,14.0,61898.0946086055,No,397661.0,z_No,M,Masters,z_Blue Collar,22,Commercial,33320.0,4,Panel Truck,yes,0.0,0,Yes,1,12.0,Highly Urban/ Urban
82,0,0,45.0,0,11.0,61931.0,No,213530.0,Yes,M,Masters,z_Blue Collar,30,Commercial,10910.0,13,Pickup,yes,25106.0,2,No,0,8.32832309502026,Highly Urban/ Urban
84,0,0,63.0,0,9.0,74426.0,No,0.0,z_No,z_F,PhD,Doctor,11,Private,27600.0,1,z_SUV,no,0.0,0,No,0,18.0,Highly Urban/ Urban
85,0,0,44.0,0,9.0,74722.0,No,231034.0,Yes,z_F,Bachelors,Professional,9,Private,23640.0,6,Minivan,no,0.0,0,No,0,1.0,Highly Urban/ Urban
86,1,1,45.0,2,11.0,102393.0,Yes,0.0,z_No,M,Bachelors,Professional,25,Private,1500.0,1,Minivan,yes,0.0,0,No,2,11.0,Highly Urban/ Urban
88,0,0,48.0,0,0.0,0.0,No,98920.0,Yes,z_F,z_High School,Home Maker,50,Private,8660.0,3,Sports Car,no,8363.0,2,No,3,8.32832309502026,Highly Urban/ Urban
89,1,1,37.0,2,12.0,61898.0946086055,No,205211.0,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,5200.0,1,z_SUV,no,2718.0,1,No,1,3.0,Highly Urban/ Urban
90,0,0,35.0,0,10.499286363046581,29371.0,No,0.0,z_No,z_F,<High School,Clerical,49,Private,4860.0,10,Sports Car,no,0.0,0,No,0,1.0,Highly Urban/ Urban
91,1,0,48.0,0,12.0,31773.0,No,165090.0,Yes,M,z_High School,Clerical,14,Commercial,9640.0,13,Pickup,no,1212.0,1,No,4,1.0,Highly Urban/ Urban
93,0,0,49.0,0,0.0,0.0,No,159389.0,Yes,z_F,Masters,Professional,42,Private,6400.0,10,z_SUV,no,9115.0,1,No,6,14.0,Highly Urban/ Urban
94,0,0,44.0,2,15.0,139330.0,Yes,316900.0,z_No,z_F,z_High School,z_Blue Collar,35,Commercial,22050.0,10,Sports Car,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
95,0,0,50.0,0,13.0,163296.0,No,447616.0,z_No,z_F,PhD,Lawyer,42,Private,22830.0,1,Minivan,no,0.0,0,No,0,14.0,z_Highly Rural/ Rural
96,0,0,30.0,1,10.0,17455.0,Yes,140978.0,z_No,z_F,<High School,z_Blue Collar,50,Private,12380.0,13,Minivan,no,0.0,0,No,0,6.0,z_Highly Rural/ Rural
97,0,0,54.0,0,10.499286363046581,71007.0,No,240833.0,Yes,M,Bachelors,Manager,61,Private,14000.0,6,Minivan,no,0.0,0,No,0,11.0,Highly Urban/ Urban
99,1,0,53.0,0,6.0,38036.0,No,153381.0,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,13140.0,1,z_SUV,no,0.0,0,No,4,1.0,Highly Urban/ Urban
100,0,0,53.0,0,13.0,41199.0,No,150933.0,z_No,z_F,Bachelors,Manager,21,Private,15360.0,1,z_SUV,no,0.0,0,No,0,8.0,Highly Urban/ Urban
101,0,0,29.0,1,10.0,38042.0,Yes,202967.0,z_No,M,z_High School,Professional,15,Private,15160.0,6,Minivan,no,0.0,0,No,0,1.0,Highly Urban/ Urban
102,0,0,58.0,0,11.0,91223.0,No,0.0,z_No,M,Masters,Lawyer,23,Private,10620.0,6,Pickup,no,0.0,0,No,0,8.32832309502026,Highly Urban/ Urban
103,0,0,55.0,0,7.0,45787.0,No,173196.0,Yes,z_F,Masters,Lawyer,5,Private,19380.0,6,Minivan,no,0.0,0,No,0,13.0,Highly Urban/ Urban
104,0,0,55.0,0,10.499286363046581,84964.0,No,227091.0,Yes,M,Bachelors,z_Blue Collar,21,Commercial,5760.0,1,Pickup,yes,969.0,2,No,6,11.0,Highly Urban/ Urban
105,0,0,56.0,0,8.0,38240.0,No,190675.0,Yes,z_F,z_High School,Clerical,28,Private,16220.0,4,z_SUV,no,0.0,0,No,0,8.32832309502026,z_Highly Rural/ Rural
108,0,0,34.0,0,11.0,51565.0,No,0.0,z_No,M,Masters,Lawyer,36,Private,18110.0,1,Van,yes,759.0,2,No,3,15.0,Highly Urban/ Urban
109,1,0,34.0,3,0.0,0.0,No,66358.0,Yes,z_F,z_High School,Home Maker,25,Private,11740.0,9,z_SUV,no,1800.0,2,No,2,1.0,Highly Urban/ Urban
110,0,0,36.0,0,11.0,105384.0,No,267509.0,Yes,M,Masters,Professional,24,Private,13800.0,7,Minivan,yes,31695.0,3,Yes,4,17.0,Highly Urban/ Urban
111,1,0,41.0,0,10.0,66265.0,No,159276.0,Yes,M,Masters,Lawyer,59,Private,12230.0,4,Minivan,yes,0.0,0,No,1,9.0,Highly Urban/ Urban
112,1,0,46.0,0,7.0,61898.0946086055,No,154867.2897232688,z_No,M,Masters,z_Blue Collar,17,Commercial,23350.0,13,Panel Truck,yes,4678.0,3,No,6,17.0,Highly Urban/ Urban
114,0,0,42.0,0,9.0,76226.0,No,217920.0,Yes,M,Bachelors,z_Blue Collar,18,Commercial,23390.0,13,Panel Truck,yes,0.0,0,No,0,14.0,Highly Urban/ Urban
115,0,1,38.0,3,16.0,7528.0,No,113809.0,Yes,M,<High School,Clerical,26,Private,8080.0,1,Pickup,yes,0.0,0,No,0,8.0,z_Highly Rural/ Rural
116,1,0,33.0,4,0.0,0.0,Yes,0.0,z_No,M,z_High School,Student,14,Commercial,15090.0,1,Minivan,yes,1631.0,1,No,2,5.0,Highly Urban/ Urban
117,1,0,37.0,0,0.0,61898.0946086055,No,73890.0,Yes,z_F,Bachelors,Student,48,Commercial,12850.0,7,z_SUV,no,0.0,0,No,3,6.0,Highly Urban/ Urban
118,0,1,42.0,1,9.0,32797.0,No,160661.0,Yes,z_F,Masters,Lawyer,63,Private,21690.0,1,Minivan,no,0.0,0,No,2,14.0,Highly Urban/ Urban
119,1,0,47.0,0,11.0,44705.0,No,217885.0,Yes,z_F,Bachelors,Professional,50,Private,12840.0,1,z_SUV,no,1533.0,2,No,0,10.0,Highly Urban/ Urban
121,0,0,52.0,0,9.0,68992.0,No,216986.0,z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,15120.0,1,Minivan,no,0.0,0,No,3,10.0,z_Highly Rural/ Rural
122,0,0,43.0,0,11.0,132561.0,No,314433.0,z_No,M,Masters,Professional,8,Commercial,30150.0,16,Panel Truck,no,12294.0,1,No,0,1.0,Highly Urban/ Urban
124,0,0,66.0,1,17.0,96830.0,No,325826.0,Yes,M,Masters,Professional,23,Private,11180.0,7,z_SUV,no,0.0,0,No,0,16.0,Highly Urban/ Urban
127,1,0,52.0,0,7.0,64014.0,No,244863.0,Yes,M,<High School,z_Blue Collar,33,Commercial,7900.0,4,Pickup,yes,8882.0,3,No,1,5.0,Highly Urban/ Urban
130,0,1,38.0,1,7.0,61898.0946086055,No,0.0,Yes,z_F,z_High School,Student,40,Private,7050.0,4,Sports Car,no,0.0,0,No,0,10.0,z_Highly Rural/ Rural
132,0,0,47.0,0,14.0,61898.0946086055,No,276241.0,Yes,M,Bachelors,Manager,48,Private,21320.0,1,Van,yes,0.0,0,No,0,13.0,Highly Urban/ Urban
133,0,0,37.0,0,12.0,123520.0,No,383731.0,Yes,M,Bachelors,z_Blue Collar,14,Commercial,17550.0,1,Van,no,0.0,0,No,0,8.32832309502026,Highly Urban/ Urban
134,0,0,47.0,0,13.0,45257.0,No,160051.0,Yes,M,Bachelors,Clerical,33,Commercial,29210.0,6,Panel Truck,yes,0.0,0,No,0,8.32832309502026,Highly Urban/ Urban
136,0,1,61.0,2,17.0,41857.0,No,169015.0,Yes,z_F,Masters,Manager,35,Private,20870.0,1,Sports Car,no,0.0,0,No,0,21.0,Highly Urban/ Urban
137,1,0,41.0,1,8.0,126468.0,Yes,0.0,z_No,z_F,Masters,Manager,34,Commercial,32690.0,3,Pickup,no,0.0,0,No,2,18.0,Highly Urban/ Urban
138,0,3,40.0,3,9.0,75516.0,No,247673.0,Yes,z_F,z_High School,z_Blue Collar,53,Commercial,13050.0,5,Sports Car,no,0.0,0,Yes,0,6.0,z_Highly Rural/ Rural
139,0,0,52.0,0,16.0,76954.0,No,249290.0,z_No,M,Bachelors,Professional,44,Private,19540.0,6,Minivan,yes,0.0,0,Yes,0,11.0,Highly Urban/ Urban
140,0,0,58.0,1,8.0,150352.0,No,421665.0,Yes,z_F,Masters,Manager,21,Private,24240.0,6,Pickup,no,0.0,0,No,0,17.0,Highly Urban/ Urban
142,1,1,38.0,1,12.0,37580.0,No,173495.0,Yes,z_F,<High School,Clerical,36,Private,5260.0,7,z_SUV,no,867.0,2,No,0,1.0,Highly Urban/ Urban
143,1,0,41.0,2,15.0,23344.0,No,147172.0,Yes,M,z_High School,z_Blue Collar,10,Private,7930.0,1,Pickup,no,0.0,0,No,1,1.0,Highly Urban/ Urban
144,0,0,37.0,0,16.0,43290.0,No,158771.0,Yes,z_F,Bachelors,z_Blue Collar,29,Private,23640.0,1,z_SUV,no,0.0,0,No,0,10.0,Highly Urban/ Urban
145,0,0,48.0,0,10.0,48737.0,No,220264.0,Yes,M,Bachelors,Manager,24,Private,11220.0,9,Pickup,yes,0.0,0,No,1,1.0,Highly Urban/ Urban
146,0,0,47.0,0,12.0,64259.0,No,202031.0,Yes,M,z_High School,Clerical,26,Private,25100.0,18,Minivan,no,9526.0,4,No,3,9.0,Highly Urban/ Urban
149,0,0,41.0,0,6.0,12541.0,No,0.0,z_No,M,<High School,Clerical,5,Private,7500.0,1,Minivan,yes,0.0,0,No,0,1.0,z_Highly Rural/ Rural
150,0,0,47.0,0,12.0,104271.0,No,265153.0,Yes,M,Masters,z_Blue Collar,40,Commercial,36120.0,4,Panel Truck,yes,0.0,0,No,0,11.0,Highly Urban/ Urban
152,0,0,44.0,1,10.499286363046581,67278.0,No,220556.0,Yes,z_F,Masters,Lawyer,49,Private,20210.0,1,Minivan,no,0.0,0,No,0,16.0,z_Highly Rural/ Rural
153,0,0,46.0,0,10.0,104990.0,No,306540.0,z_No,z_F,Bachelors,Professional,40,Private,16080.0,13,z_SUV,no,0.0,0,No,0,7.0,Highly Urban/ Urban
154,0,0,49.0,0,6.0,89948.0,No,0.0,z_No,z_F,Bachelors,Professional,37,Private,18160.0,7,z_SUV,no,0.0,0,No,4,9.0,Highly Urban/ Urban
155,0,0,33.0,1,12.0,111427.0,No,321483.0,Yes,z_F,Masters,z_Blue Collar,35,Commercial,28180.0,1,Van,no,0.0,0,No,3,4.0,Highly Urban/ Urban
158,1,1,43.0,2,11.0,76159.0,Yes,0.0,z_No,z_F,Bachelors,Professional,52,Private,19750.0,4,z_SUV,no,0.0,0,Yes,0,8.32832309502026,Highly Urban/ Urban
159,0,0,62.0,0,6.0,107734.0,No,0.0,z_No,z_F,PhD,Lawyer,54,Private,18470.0,3,z_SUV,no,0.0,0,No,0,15.0,Highly Urban/ Urban
160,1,0,42.0,0,0.0,0.0,No,154867.2897232688,z_No,M,<High School,Student,47,Commercial,5700.0,11,Pickup,yes,0.0,0,No,5,1.0,Highly Urban/ Urban
161,0,0,36.0,2,12.0,25282.0,Yes,0.0,z_No,z_F,z_High School,Clerical,38,Private,11160.0,1,z_SUV,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
162,0,0,47.0,0,11.0,18549.0,No,116136.0,Yes,M,Masters,Lawyer,24,Private,12800.0,7,Minivan,no,0.0,0,No,0,14.0,Highly Urban/ Urban
163,0,0,50.0,0,14.0,61898.0946086055,No,147191.0,Yes,M,z_High School,Clerical,11,Commercial,17300.0,13,Van,yes,0.0,0,No,0,7.0,Highly Urban/ Urban
164,0,0,51.0,0,9.0,50166.0,No,187297.0,z_No,M,z_High School,z_Blue Collar,32,Commercial,11620.0,1,Pickup,no,50701.0,3,Yes,0,1.0,Highly Urban/ Urban
165,0,0,46.0,0,8.0,73872.0,No,245878.0,Yes,z_F,Masters,Lawyer,43,Private,20240.0,4,Sports Car,no,0.0,0,No,0,16.0,z_Highly Rural/ Rural
166,0,0,50.0,0,14.0,73343.0,No,254600.0,Yes,z_F,z_High School,Manager,60,Private,20010.0,1,Minivan,no,4179.0,2,No,4,8.0,Highly Urban/ Urban
167,1,0,43.0,2,15.0,49849.0,Yes,0.0,z_No,z_F,Masters,Lawyer,35,Private,13130.0,1,z_SUV,no,3622.0,3,No,4,20.0,Highly Urban/ Urban
168,1,1,39.0,1,16.0,12054.0,No,0.0,Yes,z_F,<High School,Student,28,Commercial,15760.0,4,Pickup,no,1738.0,2,Yes,4,1.0,Highly Urban/ Urban
169,0,0,43.0,3,14.0,48184.0,No,209188.0,Yes,z_F,z_High School,z_Blue Collar,50,Commercial,14530.0,12,Sports Car,no,6891.0,2,No,5,1.0,Highly Urban/ Urban
170,1,0,60.0,3,18.0,78936.0,No,235670.0,Yes,z_F,Masters,Lawyer,40,Private,20350.0,6,z_SUV,no,0.0,0,No,0,15.0,Highly Urban/ Urban
171,0,0,55.0,0,0.0,0.0,No,0.0,z_No,M,<High School,Student,33,Private,7000.0,4,Pickup,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
172,0,0,40.0,0,10.0,78914.0,No,229055.0,z_No,z_F,Bachelors,Manager,36,Private,5500.0,10,z_SUV,no,6803.0,2,No,6,10.0,Highly Urban/ Urban
173,0,0,39.0,0,6.0,77125.0,No,210840.0,Yes,z_F,Bachelors,Clerical,49,Private,9570.0,7,Sports Car,no,0.0,0,No,1,13.0,Highly Urban/ Urban
175,0,0,38.0,0,14.0,25835.0,No,109685.0,Yes,M,z_High School,Clerical,29,Private,8490.0,6,Pickup,yes,0.0,0,No,1,12.0,Highly Urban/ Urban
176,0,0,42.0,0,12.0,47660.0,No,180206.0,Yes,M,Masters,Professional,31,Private,11940.0,7,Pickup,yes,974.0,2,No,6,18.0,Highly Urban/ Urban
177,0,0,42.0,0,10.0,123143.0,No,306368.0,z_No,z_F,Masters,Manager,16,Private,24930.0,4,Minivan,no,0.0,0,No,3,14.0,Highly Urban/ Urban
178,0,0,49.0,0,8.0,22059.0,No,123924.0,Yes,z_F,<High School,Clerical,24,Commercial,21990.0,11,Pickup,no,0.0,0,No,1,1.0,Highly Urban/ Urban
179,0,1,36.0,1,12.0,50750.0,Yes,0.0,z_No,z_F,Masters,Manager,26,Private,10170.0,7,z_SUV,no,5877.0,3,No,7,14.0,Highly Urban/ Urban
180,0,0,34.0,1,10.0,23571.0,Yes,0.0,z_No,M,z_High School,Clerical,35,Commercial,12180.0,7,Pickup,yes,0.0,0,No,0,7.0,Highly Urban/ Urban
181,0,0,49.0,0,0.0,0.0,No,79913.0,Yes,z_F,PhD,Home Maker,29,Private,18110.0,7,z_SUV,no,0.0,0,No,1,1.0,Highly Urban/ Urban
182,0,0,52.0,0,12.0,35631.0,No,155972.0,Yes,M,z_High School,Clerical,39,Private,6040.0,10,Minivan,yes,0.0,0,No,0,1.0,Highly Urban/ Urban
183,0,0,50.0,0,11.0,129234.0,No,0.0,z_No,M,PhD,Doctor,37,Private,21200.0,4,Van,yes,0.0,0,No,0,8.32832309502026,Highly Urban/ Urban
184,0,0,53.0,0,12.0,61898.0946086055,No,0.0,z_No,z_F,<High School,Clerical,16,Private,11650.0,10,z_SUV,no,6175.0,1,No,2,7.0,Highly Urban/ Urban
